b, 0, 45, G
b, 5, 45, B
b, 0, 35, O
b, 10, 45, O
b, 0, 30, R
b, 5, 35, R
b, 10, 40, R
b, 15, 45, R
b, 5, 30, Pi
b, 10, 35, Pi
b, 15, 40, Pi
b, 20, 45, Pi
b, 0, 25, Pi
b, 5, 25, Pu
b, 10, 30, Pu
b, 15, 35, Pu
b, 20, 40, Pu
b, 25, 45, Pu
b, 5, 20, G
b, 10, 25, G
b, 15, 30, G
b, 20, 35, G
b, 25, 40, G
b, 10, 20, B
b, 15, 25, B
b, 20, 30, B
b, 25, 35, B
b, 30, 40, B
b, 15, 20, O
b, 20, 25, O
b, 25, 30, O
b, 35, 40, O
b, 20, 20, R
b, 25, 25, R
b, 35, 35, R
b, 0, 40, B
b, 5, 40, O
b, 5, 15, B
b, 10, 15, O
b, 15, 15, R
b, 20, 15, Pi
b, 35, 30, Pi
b, 20, 10, Pu
b, 35, 25, Pu
b, 35, 20, G
b, 35, 15, B
b, 35, 10, O
b, 35, 5, R
b, 35, 0, Pi
b, 0, 0, R
b, 10, 10, R
b, 5, 5, R
b, 10, 5, Pi
b, 15, 5, Pu
b, 20, 5, G
b, 25, 0, O
s, 0, 10, 3
s, 25, 10, 4
s, 25, 15, 4
s, 0, 15, 3
s, 5, 50, 2
s, 20, 50, 2
