6, 0
2, 0
2, 331
4, 346
6, 357
4, 427
6, 438
4, 497
6, 508
5, 521
6, 529
2, 561
4, 581
6, 592
5, 613
6, 623
3, 640
2, 740
3, 762
1, 811
3, 834
2, 882
3, 903
1, 989
4, 1018
6, 1024
4, 1038
6, 1044
4, 1058
6, 1064
4, 1079
6, 1085
5, 1098
6, 1106
4, 1120
6, 1126
4, 1140
6, 1146
3, 1158
2, 1176
1, 1185
2, 1199
5, 1210
6, 1219
2, 1233
4, 1244
6, 1259
5, 1279
6, 1284
3, 1290
6, 1338
4, 1366
1, 1368
6, 1377
5, 1398
6, 1404
3, 1418
6, 1434
1, 1463
4, 1463
6, 1475
5, 1495
6, 1504
4, 1522
3, 1536
6, 1537
5, 1540
2, 1543
6, 1550
3, 1557
1, 1564
4, 1565
6, 1577
3, 1593
4, 1604
6, 1618
4, 1659
6, 1672
1, 1692
1, 1713
4, 1732
6, 1738
2, 1756
4, 1756
6, 1761
3, 1771
1, 1780
6, 1789
3, 1793
5, 1814
6, 1820
1, 1826
4, 1856
6, 1863
1, 1886
4, 1899
2, 1905
6, 1916
3, 1917
5, 1921
2, 1926
6, 1931
4, 1945
2, 1946
6, 1952
3, 1972
4, 1975
2, 1979
3, 1990
6, 1991
5, 1995
1, 1998
6, 2005
4, 2022
6, 2038
5, 2056
6, 2064
3, 2089
4, 2091
2, 2099
6, 2102
6, 2129
3, 2132
5, 2145
6, 2153
1, 2165
2, 2176
1, 2186
1, 2207
4, 2225
6, 2233
5, 2240
6, 2245
6, 2263
3, 2277
5, 2286
1, 2288
6, 2295
3, 2310
1, 2348
6, 2352
3, 2354
1, 2368
2, 2381
5, 2387
1, 2389
6, 2396
2, 2403
3, 2447
1, 2459
2, 2477
2, 2499
4, 2508
6, 2514
3, 2525
4, 2532
2, 2534
6, 2538
3, 2543
4, 2556
2, 2557
6, 2561
3, 2564
4, 2579
2, 2580
6, 2584
3, 2588
2, 2600
4, 2600
6, 2606
3, 2610
2, 2622
4, 2622
6, 2628
3, 2631
4, 2643
2, 2644
6, 2648
3, 2653
4, 2664
2, 2665
6, 2670
3, 2673
2, 2701
2, 2725
3, 2743
4, 2743
1, 2749
3, 2755
6, 2760
2, 2762
5, 2766
6, 2776
1, 2796
2, 2806
4, 2808
6, 2818
5, 2825
6, 2831
2, 2856
3, 2865
2, 2892
4, 2912
6, 2925
3, 2941
4, 3028
2, 3032
6, 3041
3, 3050
4, 3106
2, 3112
6, 3119
3, 3133
4, 3179
2, 3188
6, 3192
3, 3206
4, 3254
2, 3256
6, 3267
3, 3285
5, 3285
6, 3295
1, 3338
3, 3345
4, 3354
2, 3355
2, 3356
6, 3360
3, 3368
2, 3378
4, 3379
6, 3385
3, 3398
1, 3411
3, 3422
2, 3431
4, 3431
2, 3433
6, 3440
3, 3448
2, 3461
4, 3462
6, 3468
3, 3478
1, 3491
3, 3503
2, 3512
4, 3512
2, 3514
6, 3520
3, 3528
2, 3538
4, 3540
2, 3542
6, 3547
5, 3560
6, 3570
4, 3621
6, 3637
5, 3649
6, 3656
